INSERT INTO Services (Service_ID, ServiceName, ServiceType) 
VALUES 
(1000, 'Mobile', 'Recharge'),
(1062, 'Bus', 'Travels'),
(1063, 'Flight', 'Travels'),
(1064, 'Train', 'Travels'),
(1065, 'Bus', 'Travels'),
(1066, 'Flight', 'Travels'),
(1067, 'Train', 'Travels'),
(1068, 'Bus', 'Travels'),
(1069, 'Flight', 'Travels'),
(1070, 'Train', 'Travels'),
(1071, 'Bus', 'Travels'),
(1072, 'Flight', 'Travels'),
(1073, 'Train', 'Travels'),
(1074, 'Bus', 'Travels'),
(1075, 'Flight', 'Travels'),
(1076, 'Train', 'Travels'),
(1077, 'Bus', 'Travels'),
(1078, 'Flight', 'Travels'),
(1079, 'Train', 'Travels'),
(1080, 'Bus', 'Travels'),
(1081, 'Flight', 'Travels'),
(1082, 'Train', 'Travels'),
(1083, 'Bus', 'Travels'),
(1084, 'Flight', 'Travels'),
(1085, 'Train', 'Travels'),
(1086, 'Bus', 'Travels'),
(1087, 'Flight', 'Travels'),
(1088, 'Train', 'Travels'),
(1089, 'Bus', 'Travels'),
(1090, 'Flight', 'Travels'),
(1091, 'Train', 'Travels'),
(1092, 'Bus', 'Travels'),
(1093, 'Flight', 'Travels'),
(1094, 'Train', 'Travels'),
(1095, 'Bus', 'Travels'),
(1096, 'Flight', 'Travels'),
(1097, 'Train', 'Travels'),
(1098, 'Bus', 'Travels'),
(1099, 'Flight', 'Travels'),
(1100, 'Train', 'Travels');

INSERT INTO Services (Service_ID, ServiceName, ServiceType) 
VALUES 
(1101, 'Hotel', 'Hotels'),
(1102, 'Hotel', 'Hotels'),
(1103, 'Hotel', 'Hotels'),
(1104, 'Hotel', 'Hotels'),
(1105, 'Hotel', 'Hotels'),
(1106, 'Hotel', 'Hotels'),
(1107, 'Hotel', 'Hotels'),
(1108, 'Hotel', 'Hotels'),
(1109, 'Hotel', 'Hotels'),
(1110, 'Hotel', 'Hotels'),
(1111, 'Hotel', 'Hotels'),
(1112, 'Hotel', 'Hotels'),
(1113, 'Hotel', 'Hotels'),
(1114, 'Hotel', 'Hotels'),
(1115, 'Hotel', 'Hotels'),
(1116, 'Hotel', 'Hotels'),
(1117, 'Hotel', 'Hotels'),
(1118, 'Hotel', 'Hotels'),
(1119, 'Hotel', 'Hotels'),
(1120, 'Hotel', 'Hotels'),
(1121, 'Hotel', 'Hotels'),
(1122, 'Hotel', 'Hotels'),
(1123, 'Hotel', 'Hotels'),
(1124, 'Hotel', 'Hotels'),
(1125, 'Hotel', 'Hotels'),
(1126, 'Hotel', 'Hotels'),
(1127, 'Hotel', 'Hotels'),
(1128, 'Hotel', 'Hotels'),
(1129, 'Hotel', 'Hotels'),
(1130, 'Hotel', 'Hotels'),
(1131, 'Hotel', 'Hotels'),
(1132, 'Hotel', 'Hotels'),
(1133, 'Hotel', 'Hotels'),
(1134, 'Hotel', 'Hotels'),
(1135, 'Hotel', 'Hotels'),
(1136, 'Hotel', 'Hotels'),
(1137, 'Hotel', 'Hotels'),
(1138, 'Hotel', 'Hotels'),
(1139, 'Hotel', 'Hotels'),
(1140, 'Hotel', 'Hotels'),
(1141, 'Hotel', 'Hotels'),
(1142, 'Hotel', 'Hotels'),
(1143, 'Hotel', 'Hotels'),
(1144, 'Hotel', 'Hotels'),
(1145, 'Hotel', 'Hotels'),
(1146, 'Hotel', 'Hotels'),
(1147, 'Hotel', 'Hotels'),
(1148, 'Hotel', 'Hotels');

INSERT INTO Services (Service_ID, ServiceName, ServiceType) 
VALUES 
(2001, 'Broadband', 'Recharge'),
(2002, 'Broadband', 'Recharge'),
(2003, 'Broadband', 'Recharge'),
(2004, 'Broadband', 'Recharge'),
(2005, 'Broadband', 'Recharge'),
(2006, 'Broadband', 'Recharge'),
(2007, 'Broadband', 'Recharge'),
(2008, 'Broadband', 'Recharge'),
(2009, 'Broadband', 'Recharge'),
(2010, 'Broadband', 'Recharge'),
(2011, 'Broadband', 'Recharge'),
(2012, 'Broadband', 'Recharge'),
(2013, 'Broadband', 'Recharge'),
(2014, 'Broadband', 'Recharge'),
(2015, 'Broadband', 'Recharge'),
(2016, 'Broadband', 'Recharge'),
(2017, 'Broadband', 'Recharge'),
(2018, 'Broadband', 'Recharge'),
(2019, 'Broadband', 'Recharge'),
(2020, 'Broadband', 'Recharge'),
(2021, 'Broadband', 'Recharge'),
(2022, 'Broadband', 'Recharge'),
(2023, 'Broadband', 'Recharge'),
(2024, 'Broadband', 'Recharge'),
(2025, 'Broadband', 'Recharge'),
(2026, 'Broadband', 'Recharge'),
(2027, 'Broadband', 'Recharge'),
(2028, 'Broadband', 'Recharge'),
(2029, 'Broadband', 'Recharge'),
(2030, 'Broadband', 'Recharge'),
(2031, 'Broadband', 'Recharge'),
(2032, 'Broadband', 'Recharge'),
(2033, 'Broadband', 'Recharge'),
(2034, 'Broadband', 'Recharge'),
(2035, 'Broadband', 'Recharge'),
(2036, 'Broadband', 'Recharge'),
(2037, 'Broadband', 'Recharge'),
(2038, 'Broadband', 'Recharge'),
(2039, 'Broadband', 'Recharge'),
(2040, 'Broadband', 'Recharge');

INSERT INTO Services (Service_ID, ServiceName, ServiceType) 
VALUES 
(2041, 'OTT', 'Recharge'),
(2042, 'OTT', 'Recharge'),
(2043, 'OTT', 'Recharge'),
(2044, 'OTT', 'Recharge'),
(2045, 'OTT', 'Recharge'),
(2046, 'OTT', 'Recharge'),
(2047, 'OTT', 'Recharge'),
(2048, 'OTT', 'Recharge'),
(2049, 'OTT', 'Recharge'),
(2050, 'OTT', 'Recharge'),
(2051, 'OTT', 'Recharge'),
(2052, 'OTT', 'Recharge'),
(2053, 'OTT', 'Recharge'),
(2054, 'OTT', 'Recharge'),
(2055, 'OTT', 'Recharge'),
(2056, 'OTT', 'Recharge'),
(2057, 'OTT', 'Recharge'),
(2058, 'OTT', 'Recharge'),
(2059, 'OTT', 'Recharge'),
(2060, 'OTT', 'Recharge'),
(2061, 'OTT', 'Recharge'),
(2062, 'OTT', 'Recharge'),
(2063, 'OTT', 'Recharge'),
(2064, 'OTT', 'Recharge'),
(2065, 'OTT', 'Recharge'),
(2066, 'OTT', 'Recharge'),
(2067, 'OTT', 'Recharge'),
(2068, 'OTT', 'Recharge'),
(2069, 'OTT', 'Recharge'),
(2070, 'OTT', 'Recharge'),
(2071, 'OTT', 'Recharge'),
(2072, 'OTT', 'Recharge'),
(2073, 'OTT', 'Recharge'),
(2074, 'OTT', 'Recharge'),
(2075, 'OTT', 'Recharge'),
(2076, 'OTT', 'Recharge'),
(2077, 'OTT', 'Recharge'),
(2078, 'OTT', 'Recharge'),
(2079, 'OTT', 'Recharge'),
(2080, 'OTT', 'Recharge'),
(2081, 'OTT', 'Recharge'),
(2082, 'OTT', 'Recharge'),
(2083, 'OTT', 'Recharge'),
(2084, 'OTT', 'Recharge'),
(2085, 'OTT', 'Recharge'),
(2086, 'OTT', 'Recharge'),
(2087, 'OTT', 'Recharge'),
(2088, 'OTT', 'Recharge'),
(2089, 'OTT', 'Recharge'),
(2090, 'OTT', 'Recharge'),
(2091, 'OTT', 'Recharge'),
(2092, 'OTT', 'Recharge'),
(2093, 'OTT', 'Recharge'),
(2094, 'OTT', 'Recharge'),
(2095, 'OTT', 'Recharge'),
(2096, 'OTT', 'Recharge');

INSERT INTO Services (Service_ID, ServiceName, ServiceType) 
VALUES 
(2097, 'Donation', 'Donations'),
(2098, 'Donation', 'Donations'),
(2099, 'Donation', 'Donations'),
(2100, 'Donation', 'Donations'),
(2101, 'Donation', 'Donations'),
(2102, 'Donation', 'Donations'),
(2103, 'Donation', 'Donations'),
(2104, 'Donation', 'Donations'),
(2105, 'Donation', 'Donations'),
(2106, 'Donation', 'Donations'),
(2107, 'Donation', 'Donations'),
(2108, 'Donation', 'Donations'),
(2109, 'Donation', 'Donations'),
(2110, 'Donation', 'Donations'),
(2111, 'Donation', 'Donations'),
(2112, 'Donation', 'Donations'),
(2113, 'Donation', 'Donations'),
(2114, 'Donation', 'Donations'),
(2115, 'Donation', 'Donations'),
(2116, 'Donation', 'Donations'),
(2117, 'Donation', 'Donations'),
(2118, 'Donation', 'Donations'),
(2119, 'Donation', 'Donations'),
(2120, 'Donation', 'Donations'),
(2121, 'Donation', 'Donations'),
(2122, 'Donation', 'Donations'),
(2123, 'Donation', 'Donations'),
(2124, 'Donation', 'Donations'),
(2125, 'Donation', 'Donations');

INSERT INTO Services (Service_ID, ServiceName, ServiceType) 
VALUES 
(2130, 'Electricity', 'Utility_Service'),
(2131, 'Water', 'Utility_Service'),
(2132, 'Gas', 'Utility_Service'),
(2133, 'Electricity', 'Utility_Service'),
(2134, 'Water', 'Utility_Service'),
(2135, 'Gas', 'Utility_Service'),
(2136, 'Electricity', 'Utility_Service'),
(2137, 'Water', 'Utility_Service'),
(2138, 'Gas', 'Utility_Service'),
(2139, 'Electricity', 'Utility_Service'),
(2140, 'Water', 'Utility_Service'),
(2141, 'Gas', 'Utility_Service'),
(2142, 'Electricity', 'Utility_Service'),
(2143, 'Water', 'Utility_Service'),
(2144, 'Gas', 'Utility_Service'),
(2145, 'Electricity', 'Utility_Service'),
(2146, 'Water', 'Utility_Service'),
(2147, 'Gas', 'Utility_Service'),
(2148, 'Electricity', 'Utility_Service'),
(2149, 'Water', 'Utility_Service'),
(2150, 'Gas', 'Utility_Service'),
(2151, 'Electricity', 'Utility_Service'),
(2152, 'Water', 'Utility_Service'),
(2153, 'Gas', 'Utility_Service'),
(2154, 'Electricity', 'Utility_Service'),
(2155, 'Water', 'Utility_Service'),
(2156, 'Gas', 'Utility_Service'),
(2157, 'Electricity', 'Utility_Service'),
(2158, 'Water', 'Utility_Service'),
(2159, 'Gas', 'Utility_Service'),
(2160, 'Electricity', 'Utility_Service'),
(2161, 'Water', 'Utility_Service'),
(2162, 'Gas', 'Utility_Service'),
(2163, 'Electricity', 'Utility_Service'),
(2164, 'Water', 'Utility_Service'),
(2165, 'Gas', 'Utility_Service'),
(2166, 'Electricity', 'Utility_Service'),
(2167, 'Water', 'Utility_Service'),
(2168, 'Gas', 'Utility_Service'),
(2169, 'Electricity', 'Utility_Service'),
(2170, 'Water', 'Utility_Service'),
(2171, 'Gas', 'Utility_Service'),
(2172, 'Electricity', 'Utility_Service'),
(2173, 'Water', 'Utility_Service'),
(2174, 'Gas', 'Utility_Service'),
(2175, 'Electricity', 'Utility_Service'),
(2176, 'Water', 'Utility_Service'),
(2177, 'Gas', 'Utility_Service'),
(2178, 'Electricity', 'Utility_Service'),
(2179, 'Water', 'Utility_Service'),
(2180, 'Gas', 'Utility_Service'),
(2181, 'Electricity', 'Utility_Service'),
(2182, 'Water', 'Utility_Service'),
(2183, 'Gas', 'Utility_Service'),
(2184, 'Electricity', 'Utility_Service'),
(2185, 'Water', 'Utility_Service'),
(2186, 'Gas', 'Utility_Service'),
(2187, 'Electricity', 'Utility_Service'),
(2188, 'Water', 'Utility_Service'),
(2189, 'Gas', 'Utility_Service'),
(2190, 'Electricity', 'Utility_Service'),
(2191, 'Water', 'Utility_Service'),
(2192, 'Gas', 'Utility_Service'),
(2193, 'Electricity', 'Utility_Service'),
(2194, 'Water', 'Utility_Service'),
(2195, 'Gas', 'Utility_Service'),
(2196, 'Electricity', 'Utility_Service'),
(2197, 'Water', 'Utility_Service'),
(2198, 'Gas', 'Utility_Service'),
(2199, 'Electricity', 'Utility_Service'),
(2200, 'Water', 'Utility_Service'),
(2201, 'Gas', 'Utility_Service'),
(2202, 'Electricity', 'Utility_Service'),
(2203, 'Water', 'Utility_Service'),
(2204, 'Gas', 'Utility_Service'),
(2205, 'Electricity', 'Utility_Service'),
(2206, 'Water', 'Utility_Service'),
(2207, 'Gas', 'Utility_Service'),
(2208, 'Electricity', 'Utility_Service'),
(2209, 'Water', 'Utility_Service'),
(2210, 'Gas', 'Utility_Service'),
(2211, 'Electricity', 'Utility_Service'),
(2212, 'Water', 'Utility_Service'),
(2213, 'Gas', 'Utility_Service'),
(2214, 'Electricity', 'Utility_Service'),
(2215, 'Water', 'Utility_Service'),
(2216, 'Gas', 'Utility_Service'),
(2217, 'Electricity', 'Utility_Service'),
(2218, 'Water', 'Utility_Service'),
(2219, 'Gas', 'Utility_Service'),
(2220, 'Electricity', 'Utility_Service'),
(2221, 'Water', 'Utility_Service'),
(2222, 'Gas', 'Utility_Service'),
(2223, 'Electricity', 'Utility_Service'),
(2224, 'Water', 'Utility_Service'),
(2225, 'Gas', 'Utility_Service'),
(2226, 'Electricity', 'Utility_Service'),
(2227, 'Water', 'Utility_Service'),
(2228, 'Gas', 'Utility_Service'),
(2229, 'Electricity', 'Utility_Service'),
(2230, 'Water', 'Utility_Service'),
(2231, 'Gas', 'Utility_Service'),
(2232, 'Electricity', 'Utility_Service'),
(2233, 'Water', 'Utility_Service'),
(2234, 'Gas', 'Utility_Service'),
(2235, 'Electricity', 'Utility_Service'),
(2236, 'Water', 'Utility_Service'),
(2237, 'Gas', 'Utility_Service'),
(2238, 'Electricity', 'Utility_Service'),
(2239, 'Water', 'Utility_Service'),
(2240, 'Gas', 'Utility_Service'),
(2241, 'Electricity', 'Utility_Service'),
(2242, 'Water', 'Utility_Service'),
(2243, 'Gas', 'Utility_Service'),
(2244, 'Electricity', 'Utility_Service'),
(2245, 'Water', 'Utility_Service'),
(2246, 'Gas', 'Utility_Service'),
(2247, 'Electricity', 'Utility_Service'),
(2248, 'Water', 'Utility_Service'),
(2249, 'Gas', 'Utility_Service'),
(2250, 'Electricity', 'Utility_Service'),
(2251, 'Water', 'Utility_Service'),
(2252, 'Gas', 'Utility_Service'),
(2253, 'Electricity', 'Utility_Service'),
(2254, 'Water', 'Utility_Service'),
(2255, 'Gas', 'Utility_Service'),
(2256, 'Electricity', 'Utility_Service'),
(2257, 'Water', 'Utility_Service'),
(2258, 'Gas', 'Utility_Service'),
(2259, 'Electricity', 'Utility_Service'),
(2260, 'Water', 'Utility_Service'),
(2261, 'Gas', 'Utility_Service'),
(2262, 'Electricity', 'Utility_Service'),
(2263, 'Water', 'Utility_Service'),
(2264, 'Gas', 'Utility_Service'),
(2265, 'Electricity', 'Utility_Service'),
(2266, 'Water', 'Utility_Service'),
(2267, 'Gas', 'Utility_Service'),
(2268, 'Electricity', 'Utility_Service'),
(2269, 'Water', 'Utility_Service'),
(2270, 'Gas', 'Utility_Service'),
(2271, 'Electricity', 'Utility_Service'),
(2272, 'Water', 'Utility_Service'),
(2273, 'Gas', 'Utility_Service'),
(2274, 'Electricity', 'Utility_Service'),
(2275, 'Water', 'Utility_Service'),
(2276, 'Gas', 'Utility_Service'),
(2277, 'Electricity', 'Utility_Service'),
(2278, 'Water', 'Utility_Service'),
(2279, 'Gas', 'Utility_Service'),
(2280, 'Electricity', 'Utility_Service'),
(2281, 'Water', 'Utility_Service'),
(2282, 'Gas', 'Utility_Service'),
(2283, 'Electricity', 'Utility_Service'),
(2284, 'Water', 'Utility_Service'),
(2285, 'Gas', 'Utility_Service'),
(2286, 'Electricity', 'Utility_Service'),
(2287, 'Water', 'Utility_Service'),
(2288, 'Gas', 'Utility_Service'),
(2289, 'Electricity', 'Utility_Service'),
(2290, 'Water', 'Utility_Service'),
(2291, 'Gas', 'Utility_Service'),
(2292, 'Electricity', 'Utility_Service'),
(2293, 'Water', 'Utility_Service'),
(2294, 'Gas', 'Utility_Service'),
(2295, 'Electricity', 'Utility_Service'),
(2296, 'Water', 'Utility_Service'),
(2297, 'Gas', 'Utility_Service'),
(2298, 'Electricity', 'Utility_Service'),
(2299, 'Water', 'Utility_Service'),
(2300, 'Gas', 'Utility_Service'),
(2301, 'Electricity', 'Utility_Service'),
(2302, 'Water', 'Utility_Service'),
(2303, 'Gas', 'Utility_Service'),
(2304, 'Electricity', 'Utility_Service'),
(2305, 'Water', 'Utility_Service'),
(2306, 'Gas', 'Utility_Service'),
(2307, 'Electricity', 'Utility_Service'),
(2308, 'Water', 'Utility_Service'),
(2309, 'Gas', 'Utility_Service'),
(2310, 'Electricity', 'Utility_Service'),
(2311, 'Water', 'Utility_Service'),
(2312, 'Gas', 'Utility_Service'),
(2313, 'Electricity', 'Utility_Service'),
(2314, 'Water', 'Utility_Service'),
(2315, 'Gas', 'Utility_Service'),
(2316, 'Electricity', 'Utility_Service'),
(2317, 'Water', 'Utility_Service'),
(2318, 'Gas', 'Utility_Service'),
(2319, 'Electricity', 'Utility_Service'),
(2320, 'Water', 'Utility_Service'),
(2321, 'Gas', 'Utility_Service'),
(2322, 'Electricity', 'Utility_Service'),
(2323, 'Water', 'Utility_Service'),
(2324, 'Gas', 'Utility_Service'),
(2325, 'Electricity', 'Utility_Service'),
(2326, 'Water', 'Utility_Service'),
(2327, 'Gas', 'Utility_Service'),
(2328, 'Electricity', 'Utility_Service'),
(2329, 'Water', 'Utility_Service'),
(2330, 'Gas', 'Utility_Service'),
(2331, 'Electricity', 'Utility_Service'),
(2332, 'Water', 'Utility_Service'),
(2333, 'Gas', 'Utility_Service'),
(2334, 'Electricity', 'Utility_Service'),
(2335, 'Water', 'Utility_Service'),
(2336, 'Gas', 'Utility_Service'),
(2337, 'Electricity', 'Utility_Service'),
(2338, 'Water', 'Utility_Service'),
(2339, 'Gas', 'Utility_Service'),
(2340, 'Electricity', 'Utility_Service'),
(2341, 'Water', 'Utility_Service'),
(2342, 'Gas', 'Utility_Service'),
(2343, 'Electricity', 'Utility_Service'),
(2344, 'Water', 'Utility_Service'),
(2345, 'Gas', 'Utility_Service'),
(2346, 'Electricity', 'Utility_Service'),
(2347, 'Water', 'Utility_Service'),
(2348, 'Gas', 'Utility_Service'),
(2349, 'Electricity', 'Utility_Service'),
(2350, 'Water', 'Utility_Service'),
(2351, 'Gas', 'Utility_Service'),
(2352, 'Electricity', 'Utility_Service'),
(2353, 'Water', 'Utility_Service'),
(2354, 'Gas', 'Utility_Service'),
(2355, 'Electricity', 'Utility_Service'),
(2356, 'Water', 'Utility_Service'),
(2357, 'Gas', 'Utility_Service'),
(2358, 'Electricity', 'Utility_Service'),
(2359, 'Water', 'Utility_Service'),
(2360, 'Gas', 'Utility_Service'),
(2361, 'Electricity', 'Utility_Service'),
(2362, 'Water', 'Utility_Service'),
(2363, 'Gas', 'Utility_Service'),
(2364, 'Electricity', 'Utility_Service'),
(2365, 'Water', 'Utility_Service'),
(2366, 'Gas', 'Utility_Service'),
(2367, 'Electricity', 'Utility_Service'),
(2368, 'Water', 'Utility_Service'),
(2369, 'Gas', 'Utility_Service'),
(2370, 'Electricity', 'Utility_Service'),
(2371, 'Water', 'Utility_Service'),
(2372, 'Gas', 'Utility_Service'),
(2373, 'Electricity', 'Utility_Service'),
(2374, 'Water', 'Utility_Service'),
(2375, 'Gas', 'Utility_Service'),
(2376, 'Electricity', 'Utility_Service'),
(2377, 'Water', 'Utility_Service'),
(2378, 'Gas', 'Utility_Service'),
(2379, 'Electricity', 'Utility_Service'),
(2380, 'Water', 'Utility_Service'),
(2381, 'Gas', 'Utility_Service'),
(2382, 'Electricity', 'Utility_Service'),
(2383, 'Water', 'Utility_Service'),
(2384, 'Gas', 'Utility_Service'),
(2385, 'Electricity', 'Utility_Service'),
(2386, 'Water', 'Utility_Service'),
(2387, 'Gas', 'Utility_Service'),
(2388, 'Electricity', 'Utility_Service'),
(2389, 'Water', 'Utility_Service'),
(2390, 'Gas', 'Utility_Service'),
(2391, 'Electricity', 'Utility_Service'),
(2392, 'Water', 'Utility_Service'),
(2393, 'Gas', 'Utility_Service'),
(2394, 'Electricity', 'Utility_Service'),
(2395, 'Water', 'Utility_Service'),
(2396, 'Gas', 'Utility_Service'),
(2397, 'Electricity', 'Utility_Service'),
(2398, 'Water', 'Utility_Service'),
(2399, 'Gas', 'Utility_Service'),
(2400, 'Electricity', 'Utility_Service'),
(2401, 'Water', 'Utility_Service'),
(2402, 'Gas', 'Utility_Service'),
(2403, 'Electricity', 'Utility_Service'),
(2404, 'Water', 'Utility_Service'),
(2405, 'Gas', 'Utility_Service'),
(2406, 'Electricity', 'Utility_Service'),
(2407, 'Water', 'Utility_Service'),
(2408, 'Gas', 'Utility_Service'),
(2409, 'Electricity', 'Utility_Service'),
(2410, 'Water', 'Utility_Service'),
(2411, 'Gas', 'Utility_Service'),
(2412, 'Electricity', 'Utility_Service'),
(2413, 'Water', 'Utility_Service'),
(2414, 'Gas', 'Utility_Service'),
(2415, 'Electricity', 'Utility_Service'),
(2416, 'Water', 'Utility_Service'),
(2417, 'Gas', 'Utility_Service'),
(2418, 'Electricity', 'Utility_Service'),
(2419, 'Water', 'Utility_Service'),
(2420, 'Gas', 'Utility_Service'),
(2421, 'Electricity', 'Utility_Service'),
(2422, 'Water', 'Utility_Service'),
(2423, 'Gas', 'Utility_Service'),
(2424, 'Electricity', 'Utility_Service'),
(2425, 'Water', 'Utility_Service'),
(2426, 'Gas', 'Utility_Service'),
(2427, 'Electricity', 'Utility_Service'),
(2428, 'Water', 'Utility_Service'),
(2429, 'Gas', 'Utility_Service'),
(2430, 'Electricity', 'Utility_Service');
